"Number of holes, nh","Web-post width, WP (mm)","Web opening diameter, Do (mm)",Ply 1 (ø),Ply 2 (ø),Ply 3 (ø),Ply 4 (ø),Ply 5 (ø),Ply 6 (ø),Ply 7 (ø),Ply 8 (ø),Critical Buckling Load (N),Critical Buckling Load (kN)
3,3.5,35,-45,0,45,90,90,45,0,-45,14693.38821,14.69338821
3,3.5,35,-45,0,90,45,45,90,0,-45,12734.07689,12.73407689
3,3.5,35,-45,45,0,90,90,0,45,-45,18627.24439,18.62724439
3,3.5,35,-45,45,90,0,0,90,45,-45,18410.56204,18.41056204
3,3.5,35,-45,90,0,45,45,0,90,-45,13059.28092,13.05928092
3,3.5,35,-45,90,45,0,0,45,90,-45,14761.02822,14.76102822
3,3.5,35,0,-45,45,90,90,45,-45,0,14134.0744,14.1340744
3,3.5,35,0,-45,90,45,45,90,-45,0,12594.883,12.594883
3,3.5,35,0,45,-45,90,90,-45,45,0,14133.7933,14.1337933
3,3.5,35,0,45,90,-45,-45,90,45,0,12594.82149,12.59482149
3,3.5,35,0,90,-45,45,45,-45,90,0,11625.95462,11.62595462
3,3.5,35,0,90,45,-45,-45,45,90,0,11626.05675,11.62605675
3,3.5,35,45,-45,0,90,90,0,-45,45,18626.90818,18.62690818
3,3.5,35,45,-45,90,0,0,90,-45,45,18410.15889,18.41015889
3,3.5,35,45,0,-45,90,90,-45,0,45,14693.02141,14.69302141
3,3.5,35,45,0,90,-45,-45,90,0,45,12733.91842,12.73391842
3,3.5,35,45,90,-45,0,0,-45,90,45,14760.86406,14.76086406
3,3.5,35,45,90,0,-45,-45,0,90,45,13059.53049,13.05953049
3,3.5,35,90,-45,0,45,45,0,-45,90,11268.87808,11.26887808
3,3.5,35,90,-45,45,0,0,45,-45,90,12181.59001,12.18159001
3,3.5,35,90,0,-45,45,45,-45,0,90,10569.11382,10.56911382
3,3.5,35,90,0,45,-45,-45,45,0,90,10569.59823,10.56959823
3,3.5,35,90,45,-45,0,0,-45,45,90,12181.63615,12.18163615
3,3.5,35,90,45,0,-45,-45,0,45,90,11269.31067,11.26931067
3,3.5,40,-45,0,45,90,90,45,0,-45,13572.2502,13.5722502
3,3.5,40,-45,0,90,45,45,90,0,-45,11776.967,11.776967
3,3.5,40,-45,45,0,90,90,0,45,-45,17283.03179,17.28303179
3,3.5,40,-45,45,90,0,0,90,45,-45,17073.98413,17.07398413
3,3.5,40,-45,90,0,45,45,0,90,-45,12123.96459,12.12396459
3,3.5,40,-45,90,45,0,0,45,90,-45,13716.56147,13.71656147
3,3.5,40,0,-45,45,90,90,45,-45,0,13104.91546,13.10491546
3,3.5,40,0,-45,90,45,45,90,-45,0,11644.29732,11.64429732
3,3.5,40,0,45,-45,90,90,-45,45,0,13104.82983,13.10482983
3,3.5,40,0,45,90,-45,-45,90,45,0,11644.42983,11.64442983
3,3.5,40,0,90,-45,45,45,-45,90,0,10740.99102,10.74099102
3,3.5,40,0,90,45,-45,-45,45,90,0,10741.10879,10.74110879
3,3.5,40,45,-45,0,90,90,0,-45,45,17282.37633,17.28237633
3,3.5,40,45,-45,90,0,0,90,-45,45,17073.83306,17.07383306
3,3.5,40,45,0,-45,90,90,-45,0,45,13571.84242,13.57184242
3,3.5,40,45,0,90,-45,-45,90,0,45,11776.85545,11.77685545
3,3.5,40,45,90,-45,0,0,-45,90,45,13716.39646,13.71639646
3,3.5,40,45,90,0,-45,-45,0,90,45,12123.44693,12.12344693
3,3.5,40,90,-45,0,45,45,0,-45,90,10477.60441,10.47760441
3,3.5,40,90,-45,45,0,0,45,-45,90,11340.89934,11.34089934
3,3.5,40,90,0,-45,45,45,-45,0,90,9730.819386,9.730819386
3,3.5,40,90,0,45,-45,-45,45,0,90,9730.812906,9.730812906
3,3.5,40,90,45,-45,0,0,-45,45,90,11340.50806,11.34050806
3,3.5,40,90,45,0,-45,-45,0,45,90,10477.1588,10.4771588
3,3.5,45,-45,0,45,90,90,45,0,-45,12098.14959,12.09814959
3,3.5,45,-45,0,90,45,45,90,0,-45,10517.95001,10.51795001
3,3.5,45,-45,45,0,90,90,0,45,-45,15457.63433,15.45763433
3,3.5,45,-45,45,90,0,0,90,45,-45,15347.04641,15.34704641
3,3.5,45,-45,90,0,45,45,0,90,-45,10900.54882,10.90054882
3,3.5,45,-45,90,45,0,0,45,90,-45,12349.29069,12.34929069
3,3.5,45,0,-45,45,90,90,45,-45,0,11665.9012,11.6659012
3,3.5,45,0,-45,90,45,45,90,-45,0,10337.16048,10.33716048
3,3.5,45,0,45,-45,90,90,-45,45,0,11665.07695,11.66507695
3,3.5,45,0,45,90,-45,-45,90,45,0,10335.55936,10.33555936
3,3.5,45,0,90,-45,45,45,-45,90,0,9597.578516,9.597578516
3,3.5,45,0,90,45,-45,-45,45,90,0,9596.93395,9.59693395
3,3.5,45,45,-45,0,90,90,0,-45,45,15457.7493,15.4577493
3,3.5,45,45,-45,90,0,0,90,-45,45,15347.05577,15.34705577
3,3.5,45,45,0,-45,90,90,-45,0,45,12097.33052,12.09733052
3,3.5,45,45,0,90,-45,-45,90,0,45,10516.31598,10.51631598
3,3.5,45,45,90,-45,0,0,-45,90,45,12348.21844,12.34821844
3,3.5,45,45,90,0,-45,-45,0,90,45,10898.65478,10.89865478
3,3.5,45,90,-45,0,45,45,0,-45,90,9455.78318,9.45578318
3,3.5,45,90,-45,45,0,0,45,-45,90,10247.09347,10.24709347
3,3.5,45,90,0,-45,45,45,-45,0,90,8708.517517,8.708517517
3,3.5,45,90,0,45,-45,-45,45,0,90,8708.174498,8.708174498
3,3.5,45,90,45,-45,0,0,-45,45,90,10246.30374,10.24630374
3,3.5,45,90,45,0,-45,-45,0,45,90,9454.491598,9.454491598
3,4,35,-45,0,45,90,90,45,0,-45,14689.16195,14.68916195
3,4,35,-45,0,90,45,45,90,0,-45,12731.9441,12.7319441
3,4,35,-45,45,0,90,90,0,45,-45,18610.73184,18.61073184
